400 79500
363 155 10
157 338 8
4 388 8
340 27 1
183 101 3
367 394 1
122 311 8
235 364 9
124 318 10
295 100 8
158 72 6
32 279 7
19 371 1
64 146 6
56 303 7
65 69 5
178 284 2
367 259 6
242 162 8
268 196 1
182 209 4
348 330 7
132 29 4
70 192 1
314 350 7
228 39 10
325 386 4
383 376 4
348 217 9
108 116 9
107 1 9
162 170 9
225 358 10
105 43 9
258 148 1
214 118 5
391 72 3
169 367 9
110 397 5
269 47 5
316 378 8
251 129 6
156 235 4
384 357 3
83 103 5
143 9 9
3 151 10
64 192 9
384 7 6
374 345 5
289 355 3
308 23 7
377 3 6
205 53 4
139 72 2
243 139 2
191 244 2
290 357 5
106 174 2
373 150 9
132 74 3
376 211 5
87 227 6
314 304 2
366 67 10
339 186 8
373 130 2
301 387 3
377 311 3
329 139 6
307 168 5
179 80 7
102 124 7
180 133 2
353 375 7
272 101 2
15 204 2
325 41 7
119 226 9
264 365 3
256 354 6
126 101 3
393 6 4
235 187 9
322 340 2
0 372 3
32 15 1
3 289 7
310 259 9
218 235 7
244 130 3
371 35 9
44 398 8
268 36 7
389 332 6
45 345 9
218 145 6
68 268 3
328 311 5
338 72 9
291 130 1
392 147 1
238 198 5
19 119 4
202 226 3
232 326 4
267 257 5
219 29 1
388 72 1
20 104 4
53 224 5
118 160 6
153 96 4
327 340 9
348 123 5
116 87 3
346 220 7
117 255 4
257 86 1
247 64 10
310 349 4
72 10 5
270 379 2
37 227 10
47 172 10
217 79 9
184 3 9
43 396 4
153 103 3
368 32 1
14 165 9
113 203 10
146 220 5
125 20 5
116 205 1
207 203 2
127 99 8
135 219 10
389 393 7
230 83 5
80 31 10
226 352 1
206 46 4
323 262 8
58 37 5
285 225 3
192 350 4
296 39 1
168 3 4
204 223 6
242 153 8
358 395 7
159 358 3
137 226 9
61 94 9
100 18 10
96 312 8
130 61 10
182 69 9
24 46 8
82 288 3
292 172 9
322 371 7
341 67 4
366 245 6
272 387 7
115 10 3
388 111 5
209 160 10
293 198 2
4 199 10
21 62 3
67 389 6
228 150 2
109 29 5
2 283 5
144 200 3
369 39 3
230 118 10
78 353 7
150 125 5
82 299 6
366 109 6
208 79 10
387 127 7
274 188 5
259 39 6
381 266 10
382 376 9
33 310 4
265 23 7
251 28 2
399 40 6
341 110 5
190 150 3
122 209 3
15 44 7
199 88 2
45 16 7
308 336 10
336 368 3
286 152 4
65 181 2
21 109 7
242 160 5
195 375 5
349 143 4
270 79 2
49 285 4
302 306 1
120 170 4
26 70 7
283 326 9
302 198 8
381 51 10
64 65 1
87 239 5
217 210 6
249 2 6
112 365 1
299 361 10
222 257 6
332 372 5
262 198 10
188 66 9
188 10 2
324 169 7
291 31 2
295 384 7
64 188 3
385 123 4
306 297 6
382 27 8
353 303 2
36 40 5
191 149 5
284 219 1
332 204 1
216 33 4
382 235 6
216 395 4
216 20 7
307 250 7
234 331 3
16 37 6
225 116 5
383 273 1
253 118 2
197 89 2
372 235 1
369 328 5
244 337 1
146 14 4
263 14 2
21 167 3
306 61 9
357 251 1
172 238 7
303 64 8
381 167 8
234 319 8
1 136 8
158 271 5
239 240 2
77 41 7
298 197 10
228 68 6
297 319 8
317 366 10
19 4 6
335 18 6
146 238 1
163 209 2
385 46 10
7 113 7
27 365 1
249 302 3
23 41 5
166 148 5
187 234 5
378 155 1
323 177 8
281 265 1
177 62 4
361 370 2
269 168 5
207 359 10
378 55 7
383 375 3
354 394 1
302 218 9
309 184 5
21 293 9
201 267 8
