300 44000
34 245 7
150 146 5
288 143 1
76 281 3
17 203 10
12 167 5
264 1 7
255 217 4
194 92 10
243 171 4
45 294 10
105 3 9
64 38 3
174 103 2
147 142 10
74 6 7
192 175 6
133 262 6
89 107 5
0 298 4
1 230 6
12 268 8
4 261 7
269 51 4
3 145 3
91 137 8
260 90 10
148 28 4
277 10 9
229 224 4
181 212 2
175 165 7
179 109 6
291 1 5
256 20 9
113 221 3
37 252 7
39 63 8
224 247 2
85 201 1
138 268 6
274 203 10
229 173 4
263 299 9
98 273 6
258 260 7
251 277 2
43 78 4
117 36 3
242 174 1
78 5 2
127 142 6
219 152 3
239 285 8
278 18 7
131 150 7
162 268 4
62 186 8
192 81 4
90 204 3
248 223 1
201 167 5
74 133 9
221 216 1
148 261 9
98 242 10
12 216 10
137 97 1
12 233 4
144 235 2
77 262 6
190 45 4
161 116 7
219 138 10
227 262 10
208 290 2
120 121 6
101 129 6
81 238 5
139 81 3
109 178 2
65 287 9
198 224 4
130 103 6
202 253 7
57 27 10
253 118 7
276 77 2
30 290 8
287 265 6
290 289 3
149 126 7
63 136 9
184 12 8
246 50 5
148 178 4
125 146 1
296 229 2
170 60 10
168 165 8
234 100 10
121 259 5
222 41 6
271 104 7
107 126 6
133 214 10
99 279 2
170 133 8
202 226 3
179 278 2
297 114 8
278 188 1
222 23 4
195 164 7
53 272 4
174 18 3
91 258 9
114 69 6
94 292 3
195 48 6
128 276 8
195 252 7
244 201 2
255 27 6
90 59 8
93 177 7
222 275 1
79 264 7
29 56 3
214 79 8
171 86 7
201 203 5
224 252 8
158 131 2
171 65 3
296 83 9
272 49 4
283 239 7
8 183 4
221 43 4
152 244 6
146 93 1
180 256 4
4 235 9
112 295 4
207 196 4
220 172 9
70 288 4
279 173 8
11 140 3
219 183 8
270 190 2
31 215 7
169 170 6
221 57 9
200 69 2
64 73 1
53 6 2
284 87 4
250 139 1
132 188 3
294 257 7
81 77 7
239 49 1
36 231 9
92 58 2
249 284 8
73 180 8
234 12 8
257 241 9
54 202 5
26 237 6
199 227 4
30 64 9
265 176 4
213 279 4
208 145 4
185 148 5
95 21 7
298 130 5
75 20 8
96 65 1
134 110 9
231 139 4
266 79 9
115 69 8
97 154 2
254 9 6
162 157 2
260 284 7
123 14 4
160 33 2
11 119 3
241 75 1
69 250 3
155 127 10
51 187 6
203 93 8
138 258 5
168 241 1
295 213 8
91 10 2
0 188 7
299 51 2
105 233 10
222 75 10
159 61 7
288 226 3
47 174 2
233 56 4
291 148 10
77 51 2
268 42 9
146 163 10
176 31 3
144 170 9
15 49 8
20 22 8
192 166 1
114 74 4
184 204 10
32 5 9
253 19 3
166 126 2
233 110 8
190 273 6
16 156 6
88 220 6
10 206 4
88 6 7
110 277 10
18 244 8
121 41 5
77 187 2
252 51 1
191 91 2
70 154 4
212 167 3
169 291 6
46 81 10
97 98 9
75 218 8
58 150 8
114 272 4
286 110 1
150 17 8
195 285 6
283 297 2
118 175 9
177 67 10
89 226 9
177 11 6
181 297 3
217 40 10
90 101 4
272 228 10
250 224 3
182 176 6
147 98 4
63 115 6
167 98 7
179 65 2
22 123 3
266 140 2
49 110 2
244 207 2
259 75 8
27 145 1
11 159 6
61 210 6
39 265 7
92 28 6
149 8 4
65 104 7
30 279 8
53 215 7
10 207 2
58 157 4
56 36 5
112 106 8
245 136 5
1 289 8
152 213 1
261 168 6
284 265 6
64 156 9
27 298 9
92 1 4
91 299 8
238 283 5
47 39 7
177 183 3
134 93 3
98 159 4
221 32 2
177 121 10
114 35 8
36 143 2
223 163 9
148 84 10
53 151 5
216 121 6
123 236 2
271 53 2
196 80 4
166 236 6
274 111 10
58 183 9
7 265 8
9 258 1
215 270 7
95 127 8
199 79 6
274 54 4
64 267 6
188 14 5
267 203 10
49 1 7
185 255 7
154 58 9
148 59 8
71 258 1
67 109 9
208 291 1
80 35 5
159 174 1
262 228 10
26 283 2
133 265 5
125 223 8
173 35 3
253 246 9
184 250 5
68 217 1
140 35 6
161 228 5
177 79 9
90 50 7
97 285 6
102 230 5
94 239 6
33 46 2
45 229 5
11 139 7
285 25 8
26 203 10
47 42 10
106 208 7
221 193 10
215 281 2
116 82 1
261 169 1
243 104 8
44 4 8
197 94 3
167 225 8
94 180 3
216 66 5
281 176 7
145 12 4
181 235 2
172 15 8
102 56 6
119 103 8
148 272 6
0 36 7
216 14 3
158 32 1
52 163 10
100 52 6
30 140 8
261 139 6
56 41 3
28 263 5
53 198 4
136 226 1
95 27 9
2 62 8
199 39 7
199 182 10
88 154 3
87 216 9
284 213 10
219 181 2
168 260 2
215 136 8
264 202 3
21 82 10
43 259 7
83 243 1
198 102 6
298 96 5
127 111 2
233 88 3
15 275 7
291 68 9
252 60 8
246 99 9
69 185 7
213 109 10
263 255 7
24 55 10
6 228 4
151 73 6
107 173 9
196 184 9
134 94 10
131 35 6
143 12 8
123 270 9
112 244 7
199 114 2
89 213 3
268 127 5
19 261 8
159 106 6
261 75 1
10 40 4
266 134 5
127 21 9
170 19 7
14 152 8
287 14 6
89 180 10
63 212 1
67 281 10
159 48 8
167 39 10
31 280 2
76 35 5
141 111 1
72 229 4
31 259 10
286 183 2
214 248 7
13 66 3
93 251 8
219 223 7
51 106 1
284 33 7
32 119 5
235 123 3
90 172 8
261 205 9
149 236 5
118 30 4
30 220 4
103 220 3
128 185 8
101 55 10
105 199 2
144 80 9
295 3 4
8 240 1
229 246 4
67 276 8
277 218 7
285 187 7
160 11 5
79 207 7
197 199 6
42 141 6
149 190 9
32 33 9
239 7 10
75 32 5
126 179 5
246 249 8
162 172 8
249 36 4
19 188 8
5 46 5
96 195 2
50 27 10
264 9 10
48 90 9
202 278 2
104 186 5
201 8 9
214 297 10
136 9 7
83 106 5
56 288 1
257 299 10
92 259 7
163 3 7
35 73 6
232 9 6
239 131 3
209 291 3
149 221 6
128 46 1
181 151 7
174 50 2
156 88 4
212 156 5
235 276 10
130 89 8
165 5 5
280 185 8
239 191 5
78 259 4
134 109 9
36 44 4
174 46 9
10 60 2
252 227 1
130 174 10
107 28 1
283 280 10
83 129 7
96 32 7
15 162 4
107 192 6
211 53 4
190 2 7
110 47 6
100 281 8
193 152 9
294 51 9
208 164 6
24 233 9
231 107 6
199 146 8
131 273 4
5 218 10
169 48 3
61 245 2
247 289 10
179 83 1
137 281 7
242 1 4
229 2 4
75 13 4
43 28 1
83 61 2
179 156 7
42 160 1
149 163 2
217 278 6
7 50 5
171 283 2
65 154 2
115 279 1
122 282 4
197 23 3
210 143 9
271 108 7
233 3 5
109 240 5
14 157 4
121 125 5
151 284 4
94 3 1
156 244 6
113 148 5
17 284 1
94 251 6
206 252 9
290 158 2
216 97 7
286 205 1
92 162 8
99 121 8
