30 300
21 28 7
25 14 9
26 18 2
19 15 7
25 24 7
8 10 5
4 26 4
27 5 4
5 23 10
18 25 3
6 27 5
5 29 1
17 7 8
14 4 9
4 18 7
10 14 6
7 14 2
20 27 10
2 7 3
5 12 9
4 7 8
20 22 7
2 4 7
29 28 5
20 13 1
15 26 1
19 24 3
27 1 5
15 17 2
14 5 5
5 9 7
25 15 10
7 5 1
2 22 4
9 27 2
23 1 9
14 8 5
5 28 1
11 1 1
19 2 10
25 19 6
13 19 5
8 9 9
20 19 2
28 0 5
14 20 9
0 13 7
14 21 3
24 27 4
18 2 3
24 5 6
23 10 7
23 27 10
5 16 1
25 16 2
14 12 2
24 17 8
2 29 3
8 16 6
24 16 5
23 9 10
7 12 5
24 12 5
2 11 7
5 6 10
16 20 6
28 1 10
22 29 9
26 27 4
29 6 2
9 14 8
23 15 7
24 22 1
18 16 3
13 1 6
24 29 6
10 19 2
13 9 7
19 14 1
22 1 7
0 18 3
15 10 3
21 11 8
5 19 10
27 2 1
20 24 2
15 16 10
20 0 1
9 16 10
13 10 8
14 22 2
5 20 5
5 3 2
16 3 4
12 13 9
2 8 6
23 29 4
18 24 7
22 21 2
2 13 2
12 29 2
24 8 10
26 22 4
8 21 3
22 8 2
10 16 10
25 0 7
10 3 8
19 17 1
1 16 8
5 4 6
4 22 9
3 27 3
9 24 2
7 18 1
0 22 7
9 11 8
4 21 4
27 29 8
23 20 6
16 14 2
22 28 8
7 29 10
26 2 2
2 1 6
18 23 7
2 20 3
26 7 1
22 11 3
27 15 9
0 21 1
18 12 1
27 13 10
28 3 6
8 19 6
7 13 9
1 18 2
2 15 2
0 8 3
2 25 4
0 16 3
15 12 2
4 0 10
28 19 9
0 3 1
4 13 4
6 4 4
11 12 10
6 7 5
19 9 8
18 14 1
12 17 5
26 11 1
27 19 2
17 1 10
27 17 5
15 11 8
3 17 3
12 21 6
16 27 10
0 24 3
16 12 6
26 12 4
12 3 4
4 12 1
9 28 3
29 20 9
20 21 5
19 0 3
3 22 7
19 22 2
14 17 8
4 16 8
23 22 9
17 13 5
26 9 3
15 21 2
23 26 9
12 27 7
23 19 5
8 13 10
11 3 1
25 1 9
22 10 4
11 27 1
0 5 4
17 8 4
27 4 3
27 18 9
29 14 3
1 4 6
26 5 8
15 6 10
4 28 6
3 29 5
5 8 8
26 17 5
28 16 10
7 24 4
3 2 4
24 13 3
21 13 4
10 9 6
29 8 1
29 25 9
23 0 6
5 1 6
18 21 1
2 24 2
7 23 5
11 5 3
1 26 7
24 3 8
0 26 3
6 24 9
1 3 3
24 23 2
15 28 2
3 20 5
13 11 9
15 0 9
20 1 3
25 27 8
3 26 4
16 22 4
11 24 3
24 4 5
15 29 1
17 20 5
16 26 1
18 9 9
7 25 6
25 10 1
15 5 3
0 1 8
1 9 7
7 20 8
17 23 8
7 19 1
3 4 3
28 17 6
14 11 3
14 24 5
10 7 6
15 13 3
20 12 3
3 8 2
2 14 3
1 10 3
18 6 10
10 2 4
20 26 10
28 11 8
7 21 7
8 20 8
10 28 4
15 8 8
19 18 6
8 18 10
5 13 6
25 21 10
6 1 2
13 6 7
10 21 9
19 6 9
21 23 10
4 29 3
9 12 8
26 21 8
25 4 3
4 20 7
18 11 7
29 21 7
11 8 9
0 10 6
19 12 4
14 26 9
14 23 2
22 5 8
21 5 5
12 6 4
21 16 3
22 27 4
24 21 1
12 8 1
9 3 8
20 9 4
3 14 1
1 8 8
15 7 5
23 28 9
2 6 10
25 17 10
12 1 7
8 25 10
8 26 4
26 24 7
8 6 8
16 17 10
3 7 4
